InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country,Invoice_Date
C537630,AMAZONFEE,AMAZON FEE,-1,13541.33,,United Kingdom,2010-12-07 15:04:00
537632,AMAZONFEE,AMAZON FEE,1,13541.33,,United Kingdom,2010-12-07 15:08:00
C537644,AMAZONFEE,AMAZON FEE,-1,13474.79,,United Kingdom,2010-12-07 15:34:00
C537651,AMAZONFEE,AMAZON FEE,-1,13541.33,,United Kingdom,2010-12-07 15:49:00
C540117,AMAZONFEE,AMAZON FEE,-1,16888.02,,United Kingdom,2011-01-05 09:55:00
C540118,AMAZONFEE,AMAZON FEE,-1,16453.71,,United Kingdom,2011-01-05 09:57:00
C556445,M,Manual,-1,38970.0,15098.0,United Kingdom,2011-06-10 15:31:00
A563185,B,Adjust bad debt,1,11062.06,,United Kingdom,2011-08-12 14:50:00
A563186,B,Adjust bad debt,1,-11062.06,,United Kingdom,2011-08-12 14:51:00
A563187,B,Adjust bad debt,1,-11062.06,,United Kingdom,2011-08-12 14:52:00
C580604,AMAZONFEE,AMAZON FEE,-1,11586.5,,United Kingdom,2011-12-05 11:35:00
C580605,AMAZONFEE,AMAZON FEE,-1,17836.46,,United Kingdom,2011-12-05 11:36:00
